                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 0.9018,                0.96005,                 1.3283,                0.84426,                0.78145,                0.85072,                0.54825,                 1.2691,                0.97444,                 1.4002,             0.00085502,             0.00085502,             0.00085502
                     53,                0.89549,                0.93179,                 1.3192,                0.83402,                0.79092,                0.85507,                0.55139,                 1.2614,                0.96523,                 1.3844,             0.00084948,             0.00084948,             0.00084948
                     54,                0.89343,                0.93105,                 1.3239,                0.82842,                 0.7795,                0.84396,                0.54857,                 1.2682,                0.99626,                 1.3968,             0.00084385,             0.00084385,             0.00084385
                     55,                0.89807,                0.93402,                 1.3215,                0.83373,                 0.7878,                0.84737,                0.55023,                 1.2647,                0.96255,                 1.3927,             0.00083814,             0.00083814,             0.00083814
                     56,                0.89426,                0.93852,                  1.317,                0.84122,                0.78627,                0.85141,                0.55073,                 1.2935,                0.96462,                 1.4184,             0.00083235,             0.00083235,             0.00083235
                     57,                 0.8921,                0.92342,                 1.3207,                 0.8524,                0.77435,                0.85606,                0.55871,                 1.2736,                0.95789,                 1.3943,             0.00082648,             0.00082648,             0.00082648
                     58,                0.88192,                0.92738,                 1.3132,                0.84314,                0.78966,                0.86051,                0.55628,                  1.279,                0.96467,                 1.3978,             0.00082052,             0.00082052,             0.00082052
                     59,                0.89056,                0.92433,                 1.3158,                 0.8413,                0.78298,                0.85663,                0.55396,                 1.2568,                0.93028,                 1.3855,              0.0008145,              0.0008145,              0.0008145
                     60,                0.88356,                0.92473,                 1.3178,                0.85978,                 0.7866,                0.85847,                0.55608,                 1.2567,                0.92762,                 1.3795,             0.00080839,             0.00080839,             0.00080839
                     61,                 0.8839,                0.91744,                 1.3128,                0.85571,                0.79367,                0.86072,                0.55157,                 1.2748,                0.92434,                 1.3919,             0.00080221,             0.00080221,             0.00080221
                     62,                0.88251,                 0.9069,                 1.3097,                0.85341,                0.79861,                0.86348,                0.55813,                 1.2645,                0.93294,                 1.3801,             0.00079595,             0.00079595,             0.00079595
                     63,                0.87172,                0.90432,                 1.3034,                0.83712,                0.79745,                0.85943,                0.55897,                 1.2528,                0.93915,                 1.3712,             0.00078963,             0.00078963,             0.00078963
                     64,                0.88271,                0.90174,                 1.3062,                 0.8584,                0.79048,                0.86079,                0.55956,                 1.2482,                0.93374,                  1.374,             0.00078323,             0.00078323,             0.00078323
                     65,                 0.8773,                0.89018,                 1.3062,                0.84625,                0.79469,                0.86231,                0.56054,                 1.2526,                0.91777,                 1.3813,             0.00077677,             0.00077677,             0.00077677
                     66,                0.87865,                0.89599,                 1.3082,                0.85845,                0.78495,                0.86378,                0.56499,                 1.2406,                0.90621,                 1.3718,             0.00077023,             0.00077023,             0.00077023
                     67,                0.86475,                0.88273,                 1.2974,                0.85552,                0.77954,                0.86147,                0.56249,                 1.2534,                0.90805,                 1.3782,             0.00076364,             0.00076364,             0.00076364
                     68,                0.86927,                0.88758,                 1.2995,                0.84674,                0.79289,                0.85923,                0.55917,                 1.2638,                0.92145,                 1.3929,             0.00075698,             0.00075698,             0.00075698
                     69,                 0.8697,                0.89024,                 1.3006,                0.85035,                 0.7819,                0.85464,                0.55879,                  1.262,                0.90706,                  1.393,             0.00075025,             0.00075025,             0.00075025
                     70,                0.86757,                0.87723,                 1.2991,                0.85358,                0.78338,                 0.8589,                0.56217,                 1.2501,                0.91339,                 1.3855,             0.00074347,             0.00074347,             0.00074347
                     71,                0.86142,                0.87433,                 1.2967,                0.85253,                0.78384,                0.86122,                0.55807,                 1.2478,                0.91342,                 1.3822,             0.00073663,             0.00073663,             0.00073663
                     72,                0.86051,                0.87505,                 1.2981,                0.84868,                0.77653,                0.85659,                0.56088,                 1.2481,                0.90428,                 1.3768,             0.00072973,             0.00072973,             0.00072973
                     73,                0.86373,                 0.8682,                  1.294,                0.85997,                0.78049,                0.85912,                0.56518,                 1.2476,                0.87979,                  1.375,             0.00072277,             0.00072277,             0.00072277
                     74,                0.85556,                0.86527,                 1.2881,                0.85249,                0.78055,                0.85896,                0.56684,                 1.2446,                0.88285,                 1.3695,             0.00071576,             0.00071576,             0.00071576
                     75,                0.85595,                0.86722,                 1.2937,                0.84721,                0.78867,                 0.8613,                0.56915,                 1.2471,                0.88632,                 1.3766,              0.0007087,              0.0007087,              0.0007087
                     76,                0.85702,                0.87114,                 1.2934,                0.84799,                0.77823,                0.86145,                0.56481,                  1.244,                0.89378,                 1.3679,             0.00070159,             0.00070159,             0.00070159
                     77,                0.85786,                0.85927,                 1.2884,                0.86036,                0.77432,                0.86249,                0.56466,                 1.2444,                0.90214,                 1.3656,             0.00069443,             0.00069443,             0.00069443
                     78,                0.85411,                0.85421,                 1.2882,                 0.8587,                0.78088,                0.86347,                0.56569,                 1.2396,                0.90321,                 1.3652,             0.00068722,             0.00068722,             0.00068722
