                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  1.599,                 1.0997,                 1.4623,                 0.7936,                0.76359,                0.82216,                0.43344,                 1.5276,                0.91305,                 1.5102,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.6105,                 1.1101,                 1.4677,                0.80914,                 0.7527,                0.82586,                0.43691,                 1.5159,                0.91867,                  1.507,                0.00703,                0.00703,                0.00703
                     63,                 1.6155,                  1.103,                 1.4642,                0.80033,                0.76937,                0.82979,                0.43701,                 1.5107,                0.90774,                 1.4885,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.5978,                 1.0963,                 1.4601,                 0.7995,                 0.7529,                 0.8265,                0.43753,                 1.4885,                0.91341,                 1.4807,               0.006931,               0.006931,               0.006931
                     65,                  1.598,                 1.0947,                 1.4626,                0.80186,                0.76544,                0.82251,                0.43099,                 1.5264,                0.94703,                 1.5096,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.6035,                 1.0963,                 1.4636,                 0.8122,                0.75503,                0.82215,                0.43908,                 1.5095,                0.91501,                 1.4898,               0.006832,               0.006832,               0.006832
                     67,                 1.5974,                 1.0927,                 1.4607,                0.80089,                0.76937,                0.83039,                0.44196,                 1.5152,                0.89604,                 1.5051,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.586,                 1.0806,                 1.4499,                0.80113,                0.77544,                0.83145,                0.44544,                 1.4863,                0.89659,                 1.4924,               0.006733,               0.006733,               0.006733
                     69,                 1.5994,                 1.0766,                 1.4543,                0.81161,                0.76622,                0.82641,                0.44044,                 1.5107,                0.90369,                 1.4919,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.5989,                 1.0863,                 1.4534,                 0.8097,                0.75778,                0.82325,                0.43847,                 1.4917,                0.89918,                 1.4751,               0.006634,               0.006634,               0.006634
                     71,                 1.5722,                 1.0665,                 1.4478,                0.80385,                0.77395,                0.83376,                0.44383,                 1.5107,                0.88612,                 1.5054,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.5858,                 1.0608,                 1.4471,                 0.8267,                0.75747,                0.83596,                0.44412,                 1.5038,                 0.8803,                 1.4908,               0.006535,               0.006535,               0.006535
                     73,                 1.5655,                 1.0686,                 1.4456,                0.80258,                0.77151,                0.83167,                0.44911,                 1.4884,                0.90394,                 1.4809,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.5801,                 1.0669,                 1.4443,                0.82219,                0.76327,                0.83692,                0.44882,                 1.5089,                0.87685,                 1.4897,               0.006436,               0.006436,               0.006436
                     75,                 1.5897,                 1.0738,                 1.4495,                0.80655,                0.75808,                0.83029,                0.44745,                 1.4955,                0.87887,                 1.4843,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.5704,                 1.0801,                 1.4441,                0.80444,                0.77913,                 0.8386,                 0.4474,                 1.5058,                0.89245,                 1.4943,               0.006337,               0.006337,               0.006337
                     77,                 1.5691,                 1.0595,                 1.4323,                0.79892,                 0.7636,                0.82948,                0.44284,                 1.5014,                0.88488,                 1.4897,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.5678,                 1.0509,                 1.4322,                0.78974,                0.78031,                0.83481,                0.44742,                 1.5047,                0.88773,                 1.5005,               0.006238,               0.006238,               0.006238
                     79,                 1.5525,                 1.0474,                 1.4388,                0.80023,                0.77242,                0.83415,                 0.4503,                 1.4967,                0.86742,                 1.4853,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.5685,                 1.0527,                 1.4363,                0.81944,                0.76148,                 0.8351,                0.45187,                 1.4821,                0.86588,                 1.4717,               0.006139,               0.006139,               0.006139
                     81,                 1.5599,                 1.0307,                 1.4282,                0.81747,                0.77303,                0.83427,                 0.4526,                 1.4797,                0.88728,                 1.4744,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.5549,                 1.0483,                 1.4292,                0.81028,                0.77916,                0.84328,                0.45775,                 1.4802,                0.85908,                 1.4641,                0.00604,                0.00604,                0.00604
                     83,                 1.5578,                 1.0443,                 1.4275,                0.80744,                0.76815,                0.83528,                0.45647,                 1.4585,                0.87436,                 1.4533,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.5509,                 1.0425,                 1.4261,                0.81078,                0.78585,                0.84673,                0.45886,                 1.4888,                0.86773,                  1.483,               0.005941,               0.005941,               0.005941
                     85,                 1.5472,                 1.0412,                 1.4245,                0.80609,                0.77456,                0.83855,                0.45332,                 1.4906,                0.87958,                 1.4822,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.5473,                 1.0328,                 1.4197,                0.81999,                0.77684,                0.84023,                0.45741,                  1.469,                0.85715,                 1.4623,               0.005842,               0.005842,               0.005842
                     87,                 1.5405,                  1.037,                 1.4168,                0.82172,                0.77614,                0.84658,                0.45994,                 1.4625,                0.84768,                 1.4641,              0.0057925,              0.0057925,              0.0057925
                     88,                  1.527,                  1.017,                  1.411,                 0.8076,                0.79265,                0.84496,                 0.4574,                 1.4744,                0.87055,                 1.4718,               0.005743,               0.005743,               0.005743
                     89,                 1.5313,                 1.0265,                 1.4154,                0.80998,                0.79378,                0.84897,                 0.4638,                 1.4558,                0.84788,                 1.4571,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.5362,                 1.0332,                 1.4166,                0.80375,                0.78432,                0.83718,                0.45949,                 1.4647,                0.86205,                 1.4624,               0.005644,               0.005644,               0.005644
                     91,                 1.5405,                 1.0318,                 1.4188,                0.81136,                 0.7773,                0.83964,                0.45795,                 1.4776,                0.85686,                 1.4766,              0.0055945,              0.0055945,              0.0055945
                     92,                  1.547,                  1.026,                   1.42,                0.83336,                  0.777,                 0.8522,                  0.465,                 1.4715,                0.83604,                 1.4679,               0.005545,               0.005545,               0.005545
                     93,                 1.5345,                 1.0183,                 1.4119,                0.80704,                 0.7889,                0.84663,                0.46377,                 1.4532,                 0.8521,                 1.4608,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.5191,                  1.008,                 1.4018,                0.80985,                0.78087,                0.84518,                0.46208,                 1.4618,                0.84944,                 1.4688,               0.005446,               0.005446,               0.005446
                     95,                 1.5238,                 1.0184,                 1.3971,                0.81845,                0.78585,                0.85111,                0.46541,                  1.456,                0.84601,                 1.4518,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.5185,                 1.0131,                 1.4088,                0.81534,                0.78529,                0.85011,                0.46647,                 1.4497,                0.84182,                 1.4539,               0.005347,               0.005347,               0.005347
                     97,                 1.5056,                0.99948,                 1.4062,                0.80562,                 0.7738,                0.83907,                0.45676,                 1.4914,                0.87256,                 1.4954,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.5041,                 1.0037,                 1.4035,                0.81444,                0.78798,                0.84961,                0.46697,                 1.4621,                 0.8386,                 1.4604,               0.005248,               0.005248,               0.005248
                     99,                 1.5011,                0.99602,                 1.3906,                0.81867,                0.77682,                0.84156,                 0.4637,                 1.4512,                0.84659,                 1.4589,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.5017,                 1.0094,                 1.4005,                0.81753,                0.78493,                0.84983,                 0.4666,                 1.4574,                0.82812,                 1.4616,               0.005149,               0.005149,               0.005149
                    101,                 1.5142,                 1.0032,                 1.4035,                0.83618,                0.77547,                0.84396,                0.45874,                 1.4855,                0.83784,                 1.4854,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.5036,                0.99854,                 1.3928,                0.82616,                0.77999,                0.84576,                0.46603,                 1.4604,                0.82789,                 1.4614,                0.00505,                0.00505,                0.00505
                    103,                 1.5063,                0.98744,                 1.3855,                0.82635,                0.77639,                0.84985,                0.47015,                 1.4398,                0.83371,                  1.445,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.5042,                0.98656,                 1.3897,                0.81497,                0.78981,                0.85143,                0.46795,                 1.4595,                0.83107,                 1.4599,               0.004951,               0.004951,               0.004951
                    105,                 1.4977,                0.97997,                 1.3845,                 0.8257,                0.79053,                0.85289,                0.46969,                 1.4541,                0.81845,                 1.4684,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.4814,                0.96501,                 1.3777,                0.82928,                0.79579,                0.85632,                0.47131,                 1.4416,                0.82068,                 1.4538,               0.004852,               0.004852,               0.004852
                    107,                 1.4807,                0.96868,                  1.385,                0.82342,                 0.7938,                0.84766,                0.47243,                   1.44,                0.82081,                 1.4446,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.4846,                0.97407,                   1.38,                0.82328,                0.78452,                0.85348,                 0.4737,                 1.4338,                 0.8196,                  1.434,               0.004753,               0.004753,               0.004753
                    109,                 1.4742,                0.96634,                 1.3789,                 0.8102,                0.79437,                0.85115,                0.47598,                 1.4257,                0.82394,                 1.4376,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.4939,                0.97752,                 1.3919,                0.80662,                0.80506,                0.85525,                0.47715,                 1.4354,                0.81518,                 1.4497,               0.004654,               0.004654,               0.004654
                    111,                 1.4838,                0.97533,                 1.3883,                0.82999,                0.78401,                 0.8522,                0.47239,                  1.445,                0.82498,                 1.4431,              0.0046045,              0.0046045,              0.0046045
                    112,                  1.483,                0.96444,                 1.3717,                0.81862,                0.80445,                0.85417,                0.48045,                 1.4342,                0.81388,                 1.4442,               0.004555,               0.004555,               0.004555
                    113,                 1.4638,                 0.9713,                 1.3746,                0.82732,                0.78707,                0.85345,                0.47719,                 1.4245,                0.82051,                 1.4348,              0.0045055,              0.0045055,              0.0045055
                    114,                 1.4794,                 0.9792,                 1.3782,                0.82547,                0.79195,                0.85824,                0.47729,                  1.423,                0.81948,                 1.4363,               0.004456,               0.004456,               0.004456
                    115,                 1.4637,                0.97925,                 1.3734,                 0.8211,                0.78646,                0.85283,                0.47245,                 1.4303,                0.81999,                 1.4373,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.4638,                 0.9549,                 1.3798,                0.83354,                0.78825,                0.85295,                0.47744,                 1.4382,                0.81907,                 1.4404,               0.004357,               0.004357,               0.004357
                    117,                 1.4558,                 0.9615,                 1.3681,                0.82815,                0.78947,                0.85659,                0.48057,                 1.4303,                 0.8078,                 1.4368,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.4516,                0.95536,                 1.3571,                0.81704,                0.80171,                0.85709,                0.47675,                 1.4389,                0.80867,                 1.4451,               0.004258,               0.004258,               0.004258
                    119,                 1.4592,                0.95766,                 1.3681,                0.81891,                0.79597,                0.85661,                0.47596,                 1.4477,                0.80912,                 1.4384,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.4558,                0.94524,                 1.3568,                0.83387,                0.77883,                0.85038,                0.47334,                 1.4346,                0.81795,                 1.4378,               0.004159,               0.004159,               0.004159
                    121,                 1.4392,                0.93777,                 1.3568,                0.83632,                0.77779,                0.85167,                0.47689,                 1.4369,                0.80887,                  1.434,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.4641,                0.96531,                 1.3658,                0.81631,                0.79173,                0.85159,                0.47901,                  1.424,                0.82388,                 1.4341,                0.00406,                0.00406,                0.00406
                    123,                 1.4358,                 0.9258,                 1.3463,                0.82112,                0.79469,                 0.8558,                0.48029,                 1.4293,                0.80755,                 1.4307,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.4556,                0.95197,                 1.3642,                 0.8308,                0.78462,                0.85671,                0.48191,                  1.426,                0.79194,                 1.4238,               0.003961,               0.003961,               0.003961
                    125,                 1.4396,                0.93564,                 1.3477,                0.82196,                0.79577,                0.85974,                0.48115,                 1.4322,                0.79445,                 1.4252,              0.0039115,              0.0039115,              0.0039115
